,cdf,Min Deadline to Meet Target Deadline Miss Rate of 10.0%
0,0.0,0.0001842893711639752
1,0.01,0.0001842893711639752
2,0.02,0.0001842893711639752
3,0.03,0.0001842893711639752
4,0.04,0.0001842893711639752
5,0.05,0.0001842893711639752
6,0.06,0.0001842893711639752
7,0.07,0.0001842893711639752
8,0.08,0.0001842893711639752
9,0.09,0.0001842893711639752
10,0.1,0.0001842893711639752
11,0.11,0.0001842893711639752
12,0.12,0.0001842893711639752
13,0.13,0.0001842893711639752
14,0.14,0.0001842893711639752
15,0.15,0.0001842893711639752
16,0.16,0.0001842893711639752
17,0.17,0.0001842893711639752
18,0.18,0.0001842893711639752
19,0.19,0.0001842893711639752
20,0.2,0.0001842893711639752
21,0.21,0.0001842893711639752
22,0.22,0.0001842893711639752
23,0.23,0.0001842893711639752
24,0.24,0.0001842893711639752
25,0.25,0.0001842893711639752
26,0.26,0.0001842893711639752
27,0.27,0.0001842893711639752
28,0.28,0.0001842893711639752
29,0.29,0.0001842893711639752
30,0.3,0.0001842893711639752
31,0.31,0.0001842893711639752
32,0.32,0.0001842893711639752
33,0.33,0.0001842893711639752
34,0.34,0.0001842893711639752
35,0.35000000000000003,0.0001842893711639752
36,0.36,0.0001842893711639752
37,0.37,0.0001842893711639752
38,0.38,0.0001842893711639752
39,0.39,0.0001842893711639752
40,0.4,0.0001842893711639752
41,0.41000000000000003,0.0001842893711639752
42,0.42,0.0001842893711639752
43,0.43,0.0001842893711639752
44,0.44,0.0001842893711639752
45,0.45,0.0001842893711639752
46,0.46,0.0001842893711639752
47,0.47000000000000003,0.0001842893711639752
48,0.48,0.0001842893711639752
49,0.49,0.0001842893711639752
50,0.5,0.0001842893711639752
51,0.51,0.0001842893711639752
52,0.52,0.0001842893711639752
53,0.53,0.0001842893711639752
54,0.54,0.0001842893711639752
55,0.55,0.0001842893711639752
56,0.56,0.0001842893711639752
57,0.5700000000000001,0.0001842893711639752
58,0.58,0.0001842893711639752
59,0.59,0.0001842893711639752
60,0.6,0.0001842893711639752
61,0.61,0.0001842893711639752
62,0.62,0.0001842893711639752
63,0.63,0.0001842893711639752
64,0.64,0.0001842893711639752
65,0.65,0.0001842893711639752
66,0.66,0.0001842893711639752
67,0.67,0.0001842893711639752
68,0.68,0.0001842893711639752
69,0.6900000000000001,0.0001842893711639752
70,0.7000000000000001,0.0001842893711639752
71,0.71,0.0001842893711639752
72,0.72,0.0001842893711639752
73,0.73,0.0001842893711639752
74,0.74,0.0001842893711639752
75,0.75,0.0001842893711639752
76,0.76,0.0001842893711639752
77,0.77,0.0001842893711639752
78,0.78,0.0001842893711639752
79,0.79,0.0001842893711639752
80,0.8,0.0001842893711639752
81,0.81,0.0001842893711639752
82,0.8200000000000001,0.0001842893711639752
83,0.8300000000000001,0.0001842893711639752
84,0.84,0.0001842893711639752
85,0.85,0.0001842893711639752
86,0.86,0.0001842893711639752
87,0.87,0.0001842893711639752
88,0.88,0.0001842893711639752
89,0.89,0.0001842893711639752
90,0.9,0.0001842893711639752
91,0.91,0.0001842893711639752
92,0.92,0.0001842893711639752
93,0.93,0.0001842893711639752
94,0.9400000000000001,0.0001842893711639752
95,0.9500000000000001,0.0001842893711639752
96,0.96,0.0001842893711639752
97,0.97,0.0001842893711639752
98,0.98,0.0001842893711639752
99,0.99,0.0001842893711639752
100,1.0,0.0001842893711639752
